Player,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,Team
CodyCBradfordBradfordP,10,6,4.28,34,21,0,0,0,0,132.1,120,65,63,21.0,2.0,25,121,1.10,.236,TEX
HuascarHBrazobnBrazobnP,7,6,3.79,116,0,0,0,0,9,142.1,117,67,60,10.0,9.0,77,156,1.36,.223,NYM
AaronABrownBrownP,0,0,0.00,1,0,0,0,0,0,2.0,1,0,0,0.0,0.0,1,2,1.00,0.143,HOU
BenBBrownBrownP,1,3,3.58,15,8,0,0,0,0,55.1,41,22,22,5.0,1.0,19,64,1.08,.208,CHC
KrisKBubicBubicP,11,29,4.66,97,60,0,0,1,4,355.1,374,202,184,51.0,14.0,151,328,1.48,.273,KC
RaymondRBurgosBurgosP,0,0,9.00,1,0,0,0,0,0,1.0,3,1,1,0.0,0.0,1,1,4.00,.500,SF
ChrisCCamposCamposP,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0.0,0.0,0,2,1.00,0.25,LAD
SamSCarlsonCarlsonP,0,0,0.00,2,0,0,0,0,0,2.0,1,0,0,0.0,0.0,3,2,2.00,0.143,LAD
SladeSCecconiCecconiP,2,8,6.06,27,17,0,0,0,0,104.0,119,70,70,20.0,6.0,21,84,1.35,.285,CLE
ChandlerCChamplainChamplainP,0,0,20.25,1,1,0,0,0,0,1.1,2,3,3,0.0,2.0,1,2,2.25,0.333,KC
AngelAChivilliChivilliP,2,3,4.55,30,0,0,0,1,3,31.2,31,17,16,7.0,1.0,10,28,1.29,.254,COL
TylerTClevelandClevelandP,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0.0,0.0,2,2,2.00,0.0,SEA
AlexanderACornielleCornielleP,1,0,13.50,2,0,0,0,0,0,2.0,2,3,3,1.0,0.0,1,2,1.50,0.25,MIL
JoshuaJCorniellyCorniellyP,0,0,0.00,1,0,0,0,0,0,1.2,1,0,0,0.0,0.0,0,2,0.60,0.167,NYM
RyanRCosteiuCosteiuP,1,0,18.00,1,0,0,0,0,1,1.0,2,2,2,1.0,0.0,1,2,3.00,0.4,LAA
AustinACoxCoxP,0,1,4.54,24,3,0,0,1,1,35.2,28,20,18,2.0,2.0,17,33,1.26,.220,KC
FernandoFCruzCruzP,4,11,4.52,141,7,0,0,0,4,147.1,115,78,74,16.0,4.0,72,228,1.27,.209,NYY
